PathwayL1	PathwayL2
Metabolism	Carbohydrate metabolism
Metabolism	Carbohydrate metabolism
Metabolism	Carbohydrate metabolism
Metabolism	Carbohydrate metabolism
Metabolism	Carbohydrate metabolism
Metabolism	Carbohydrate metabolism
Metabolism	Carbohydrate metabolism
Metabolism	Carbohydrate metabolism
Metabolism	Carbohydrate metabolism
Metabolism	Carbohydrate metabolism
Metabolism	Carbohydrate metabolism
Metabolism	Carbohydrate metabolism
Metabolism	Carbohydrate metabolism
Metabolism	Carbohydrate metabolism
Metabolism	Carbohydrate metabolism
Metabolism	Carbohydrate metabolism
Metabolism	Carbohydrate metabolism
Metabolism	Carbohydrate metabolism
Metabolism	Carbohydrate metabolism
Metabolism	Carbohydrate metabolism
Metabolism	Carbohydrate metabolism
Metabolism	Carbohydrate metabolism
Metabolism	Carbohydrate metabolism
Metabolism	Carbohydrate metabolism
Metabolism	Carbohydrate metabolism
Metabolism	Carbohydrate metabolism
Metabolism	Carbohydrate metabolism
Metabolism	Carbohydrate metabolism
Metabolism	Carbohydrate metabolism
Metabolism	Carbohydrate metabolism
Metabolism	Carbohydrate metabolism
Metabolism	Carbohydrate metabolism
Metabolism	Carbohydrate metabolism
Metabolism	Carbohydrate metabolism
Metabolism	Carbohydrate metabolism
Metabolism	Carbohydrate metabolism
Metabolism	Carbohydrate metabolism
Metabolism	Carbohydrate metabolism
Metabolism	Carbohydrate metabolism
Metabolism	Carbohydrate metabolism
Metabolism	Carbohydrate metabolism
Metabolism	Carbohydrate metabolism
Metabolism	Carbohydrate metabolism
Metabolism	Carbohydrate metabolism
Metabolism	Carbohydrate metabolism
Metabolism	Carbohydrate metabolism
Metabolism	Carbohydrate metabolism
Metabolism	Carbohydrate metabolism
Metabolism	Carbohydrate metabolism
Metabolism	Carbohydrate metabolism
Metabolism	Carbohydrate metabolism
Metabolism	Carbohydrate metabolism
Metabolism	Carbohydrate metabolism
Metabolism	Carbohydrate metabolism
Metabolism	Carbohydrate metabolism
Metabolism	Carbohydrate metabolism
Metabolism	Carbohydrate metabolism
Metabolism	Carbohydrate metabolism
Metabolism	Carbohydrate metabolism
Metabolism	Carbohydrate metabolism
Metabolism	Carbohydrate metabolism
Metabolism	Carbohydrate metabolism
Metabolism	Carbohydrate metabolism
Metabolism	Carbohydrate metabolism
Metabolism	Carbohydrate metabolism
Metabolism	Carbohydrate metabolism
Metabolism	Carbohydrate metabolism
Metabolism	Carbohydrate metabolism
Metabolism	Carbohydrate metabolism
Metabolism	Carbohydrate metabolism
Metabolism	Carbohydrate metabolism
Metabolism	Carbohydrate metabolism
Metabolism	Carbohydrate metabolism
Metabolism	Carbohydrate metabolism
Metabolism	Carbohydrate metabolism
Metabolism	Carbohydrate metabolism
Metabolism	Carbohydrate metabolism
Metabolism	Carbohydrate metabolism
Metabolism	Carbohydrate metabolism
Metabolism	Carbohydrate metabolism
Metabolism	Carbohydrate metabolism
Metabolism	Carbohydrate metabolism
Metabolism	Carbohydrate metabolism
Metabolism	Carbohydrate metabolism
Metabolism	Carbohydrate metabolism
Metabolism	Carbohydrate metabolism
Metabolism	Carbohydrate metabolism
Metabolism	Carbohydrate metabolism
Metabolism	Carbohydrate metabolism
Metabolism	Carbohydrate metabolism
Metabolism	Carbohydrate metabolism
Metabolism	Carbohydrate metabolism
Metabolism	Carbohydrate metabolism
Metabolism	Carbohydrate metabolism
Metabolism	Carbohydrate metabolism
Metabolism	Carbohydrate metabolism
Metabolism	Carbohydrate metabolism
Metabolism	Carbohydrate metabolism
Metabolism	Carbohydrate metabolism
Metabolism	Carbohydrate metabolism
Metabolism	Carbohydrate metabolism
Metabolism	Carbohydrate metabolism
Metabolism	Carbohydrate metabolism
Metabolism	Carbohydrate metabolism
Metabolism	Carbohydrate metabolism
Metabolism	Carbohydrate metabolism
Metabolism	Carbohydrate metabolism
Metabolism	Carbohydrate metabolism
Metabolism	Carbohydrate metabolism
Metabolism	Carbohydrate metabolism
Metabolism	Carbohydrate metabolism
Metabolism	Carbohydrate metabolism
Metabolism	Carbohydrate metabolism
Metabolism	Carbohydrate metabolism
Metabolism	Carbohydrate metabolism
Metabolism	Carbohydrate metabolism
Metabolism	Carbohydrate metabolism
Metabolism	Carbohydrate metabolism
Metabolism	Carbohydrate metabolism
Metabolism	Carbohydrate metabolism
Metabolism	Carbohydrate metabolism
Metabolism	Carbohydrate metabolism
Metabolism	Carbohydrate metabolism
